time_s,phase,compression_m,compression_rate_m_s,force_n,elastic_force_n,damping_force_n
11.68436569379079,precompression_to_25_4mm,0.022281218979310447,0.0033333333333333335,356.9513720651884,356.8993509137886,0.05202115139979924
11.68461569379079,precompression_to_25_4mm,0.02228205231264378,0.0033333333333333335,356.97139760272375,356.91937353285493,0.05202406986882124
11.684865693790789,precompression_to_25_4mm,0.02228288564597711,0.0033333333333333335,356.9914235147332,356.9393965263408,0.05202698839241293
11.685115693790788,precompression_to_25_4mm,0.022283718979310443,0.0033333333333333335,357.0114498012098,356.9594198942392,0.0520299069705743
11.685365693790787,precompression_to_25_4mm,0.022284552312643775,0.0033333333333333335,357.03147646214643,356.9794436365431,0.052032825603305355
11.685615693790787,precompression_to_25_4mm,0.022285385645977106,0.0033333333333333335,357.0515034975362,356.9994677532456,0.05203574429060609
11.685865693790786,precompression_to_25_4mm,0.02228621897931044,0.0033333333333333335,357.07153090737205,357.0194922443396,0.052038663032476506
11.686115693790786,precompression_to_25_4mm,0.02228705231264377,0.0033333333333333335,357.0915586916471,357.0395171098181,0.05204158182897345
11.686365693790785,precompression_to_25_4mm,0.022287885645977102,0.0033333333333333335,357.11158685035423,357.05954234967425,0.05204450067998323
11.686615693790785,precompression_to_25_4mm,0.022288718979310434,0.0033333333333333335,357.13161538348646,357.0795679639009,0.05204741958556269
11.686865693790784,precompression_to_25_4mm,0.022289552312643766,0.0033333333333333335,357.15164429103686,357.09959395249115,0.05205033854571184
11.687115693790783,precompression_to_25_4mm,0.022290385645977098,0.0033333333333333335,357.1716735729984,357.11962031543794,0.052053257560430666
11.687365693790783,precompression_to_25_4mm,0.02229121897931043,0.0033333333333333335,357.19170322936395,357.13964705273423,0.052056176629719175
11.687615693790782,precompression_to_25_4mm,0.02229205231264376,0.0033333333333333335,357.21173326012666,357.1596741643731,0.05205909575357737
11.687865693790782,precompression_to_25_4mm,0.022292885645977093,0.0033333333333333335,357.2317636652795,357.1797016503475,0.05206201493200524
11.688115693790781,precompression_to_25_4mm,0.022293718979310425,0.0033333333333333335,357.25179444481546,357.1997295106505,0.05206493416494595
